,name,coauthors
1877,Kai Xi (袭锴）,Tao ZHANG
1879,Kai Xi (袭锴）,Fei Xu （徐飞）
1881,Kai Xi (袭锴）,pengpeng chen
1883,Kai Xi (袭锴）,Wenyu Huang
1885,Kai Xi (袭锴）,Xie Jin
1887,Philippe Mongeon,Vincent Larivière
1890,Philippe Mongeon,Adèle Paul-Hus
1893,Philippe Mongeon,Stefanie Haustein
1896,Philippe Mongeon,Cassidy R. Sugimoto
1899,Philippe Mongeon,Rodrigo Costas
1902,Philippe Mongeon,Maxime Sainte-Marie
1905,Philippe Mongeon,Fei Shu
1908,Philippe Mongeon,Andrew Tsou
1911,Philippe Mongeon,Elise Smith
1914,Philippe Mongeon,Timothy D. Bowman
1917,Philippe Mongeon,Mike Thelwall
1920,Philippe Mongeon,Kyle Siler
